Job;Node;Variant;Weight;LiveIdle;Marginal;PredTotal;RawPerf;RawEff;NormPerf;NormEff;FinalScore
ml-preprocessing-job-hrkhz;tvpc;tvpc-gpu;0.4;55.10;40.40;95.50;6.73;0.0705;0.6;0.0;0
ml-train-job-24th4;dgoh-wyze;dgoh-wyze-cpu;0.4;10.20;10.01;20.21;12.71;0.6289;0.7;8.3;5
ml-train-job-24th4;rpi;rpi-cpu;0.4;2.30;0.61;2.91;0.00;0.0014;0.0;0.0;0
ml-train-job-24th4;tvpc;tvpc-cpu;0.4;52.80;86.83;139.63;68.39;0.4898;4.0;6.5;5
ml-train-job-24th4;tvpc;tvpc-gpu;0.4;52.80;176.66;229.46;1715.98;7.4783;100.0;98.8;99
ml-inference-job-b4xtp;dgoh-wyze;dgoh-wyze-cpu;0.4;10.00;8.02;18.02;5332.58;295.9257;9.0;41.2;28
ml-inference-job-b4xtp;rpi;rpi-cpu;0.4;2.30;0.61;2.91;22.11;7.5979;0.0;1.1;0
ml-inference-job-b4xtp;tvpc;tvpc-cpu;0.4;52.80;70.89;123.69;22036.82;178.1617;37.3;24.8;29
ml-inference-job-b4xtp;tvpc;tvpc-gpu;0.4;52.80;48.08;100.88;59110.14;585.9451;100.0;81.5;88
ml-preprocessing-job-glnmz;dgoh-wyze;dgoh-wyze-cpu;0.5;10.10;2.28;12.38;283.73;22.9188;24.0;15.6;19
ml-preprocessing-job-glnmz;rpi;rpi-cpu;0.5;2.40;0.48;2.88;71.96;24.9861;6.1;17.0;11
ml-preprocessing-job-glnmz;tvpc;tvpc-cpu;0.5;57.70;27.46;85.16;1184.01;13.9034;100.0;9.4;54
ml-preprocessing-job-glnmz;tvpc;tvpc-gpu;0.5;57.70;40.40;98.10;6.73;0.0686;0.6;0.0;0
ml-train-job-72ns5;dgoh-wyze;dgoh-wyze-cpu;0.5;10.10;10.01;20.11;12.76;0.6343;0.7;8.4;4
ml-train-job-72ns5;rpi;rpi-cpu;0.5;2.40;0.61;3.01;0.00;0.0014;0.0;0.0;0
ml-train-job-72ns5;tvpc;tvpc-cpu;0.5;57.20;86.83;144.03;68.39;0.4748;4.0;6.3;5
ml-train-job-72ns5;tvpc;tvpc-gpu;0.5;57.20;176.66;233.86;1715.98;7.3376;100.0;96.9;98
ml-inference-job-rgrg9;dgoh-wyze;dgoh-wyze-cpu;0.5;10.10;8.02;18.12;5309.78;293.0343;9.0;40.8;24
ml-inference-job-rgrg9;rpi;rpi-cpu;0.5;2.30;0.61;2.91;22.11;7.5979;0.0;1.1;0
ml-inference-job-rgrg9;tvpc;tvpc-cpu;0.5;55.70;70.89;126.59;22036.82;174.0803;37.3;24.2;30
ml-inference-job-rgrg9;tvpc;tvpc-gpu;0.5;55.70;48.08;103.78;59110.14;569.5716;100.0;79.2;89
ml-preprocessing-job-bs6x9;dgoh-wyze;dgoh-wyze-cpu;0.6;10.10;2.28;12.38;283.73;22.9188;24.0;15.6;20
ml-preprocessing-job-bs6x9;rpi;rpi-cpu;0.6;2.40;0.48;2.88;71.96;24.9861;6.1;17.0;10
ml-preprocessing-job-bs6x9;tvpc;tvpc-cpu;0.6;56.80;27.46;84.26;1184.01;14.0519;100.0;9.5;63
ml-preprocessing-job-bs6x9;tvpc;tvpc-gpu;0.6;56.80;40.40;97.20;6.73;0.0692;0.6;0.0;0
ml-train-job-x65pt;dgoh-wyze;dgoh-wyze-cpu;0.6;10.00;10.01;20.01;12.80;0.6399;0.7;8.5;3
ml-train-job-x65pt;rpi;rpi-cpu;0.6;2.50;0.61;3.11;0.00;0.0014;0.0;0.0;0
ml-train-job-x65pt;tvpc;tvpc-cpu;0.6;53.80;86.83;140.63;68.39;0.4863;4.0;6.4;4
ml-train-job-x65pt;tvpc;tvpc-gpu;0.6;53.80;176.66;230.46;1715.98;7.4459;100.0;98.4;99
ml-inference-job-92v29;dgoh-wyze;dgoh-wyze-cpu;0.6;10.10;8.02;18.12;5309.78;293.0343;9.0;40.8;21
ml-inference-job-92v29;rpi;rpi-cpu;0.6;2.30;0.61;2.91;22.11;7.5979;0.0;1.1;0
ml-inference-job-92v29;tvpc;tvpc-cpu;0.6;58.50;70.89;129.39;22036.82;170.3132;37.3;23.7;31
ml-inference-job-92v29;tvpc;tvpc-gpu;0.6;58.50;48.08;106.58;59110.14;554.6082;100.0;77.1;90
ml-preprocessing-job-sg8mg;dgoh-wyze;dgoh-wyze-cpu;0.7;10.10;2.28;12.38;283.73;22.9188;24.0;15.6;21
ml-preprocessing-job-sg8mg;rpi;rpi-cpu;0.7;2.40;0.48;2.88;71.96;24.9861;6.1;17.0;9
ml-preprocessing-job-sg8mg;tvpc;tvpc-cpu;0.7;55.20;27.46;82.66;1184.01;14.3239;100.0;9.7;72
ml-preprocessing-job-sg8mg;tvpc;tvpc-gpu;0.7;55.20;40.40;95.60;6.73;0.0704;0.6;0.0;0
ml-train-job-8h29s;dgoh-wyze;dgoh-wyze-cpu;0.7;10.20;10.01;20.21;12.71;0.6289;0.7;8.3;3
ml-train-job-8h29s;rpi;rpi-cpu;0.7;2.30;0.61;2.91;0.00;0.0014;0.0;0.0;0
ml-train-job-8h29s;tvpc;tvpc-cpu;0.7;55.70;86.83;142.53;68.39;0.4798;4.0;6.3;4
ml-train-job-8h29s;tvpc;tvpc-gpu;0.7;55.70;176.66;232.36;1715.98;7.3850;100.0;97.6;99
ml-inference-job-s7jq5;dgoh-wyze;dgoh-wyze-cpu;0.7;10.20;8.02;18.22;5287.18;290.1854;8.9;40.4;18
ml-inference-job-s7jq5;rpi;rpi-cpu;0.7;2.30;0.61;2.91;22.11;7.5979;0.0;1.1;0
ml-inference-job-s7jq5;tvpc;tvpc-cpu;0.7;56.20;70.89;127.09;22036.82;173.3954;37.3;24.1;33
ml-inference-job-s7jq5;tvpc;tvpc-gpu;0.7;56.20;48.08;104.28;59110.14;566.8406;100.0;78.8;93
ml-preprocessing-job-bd4p8;dgoh-wyze;dgoh-wyze-cpu;0.8;10.10;2.28;12.38;283.73;22.9188;24.0;15.6;22
ml-preprocessing-job-bd4p8;rpi;rpi-cpu;0.8;2.40;0.48;2.88;71.96;24.9861;6.1;17.0;8
ml-preprocessing-job-bd4p8;tvpc;tvpc-cpu;0.8;53.00;27.46;80.46;1184.01;14.7155;100.0;10.0;81
ml-preprocessing-job-bd4p8;tvpc;tvpc-gpu;0.8;53.00;40.40;93.40;6.73;0.0721;0.6;0.0;0
ml-train-job-d9fmc;dgoh-wyze;dgoh-wyze-cpu;0.8;10.10;10.01;20.11;12.76;0.6343;0.7;8.4;2
ml-train-job-d9fmc;rpi;rpi-cpu;0.8;2.30;0.61;2.91;0.00;0.0014;0.0;0.0;0
ml-train-job-d9fmc;tvpc;tvpc-cpu;0.8;52.50;86.83;139.33;68.39;0.4908;4.0;6.5;4
ml-train-job-d9fmc;tvpc;tvpc-gpu;0.8;52.50;176.66;229.16;1715.98;7.4881;100.0;98.9;99
ml-inference-job-bqqv8;dgoh-wyze;dgoh-wyze-cpu;0.8;10.20;8.02;18.22;5287.18;290.1854;8.9;40.4;15
ml-inference-job-bqqv8;tvpc;tvpc-cpu;0.8;52.70;70.89;123.59;22036.82;178.3058;37.3;24.8;34
ml-inference-job-bqqv8;rpi;rpi-cpu;0.8;2.30;0.61;2.91;22.11;7.5979;0.0;1.1;0
ml-inference-job-bqqv8;tvpc;tvpc-gpu;0.8;52.70;48.08;100.78;59110.14;586.5265;100.0;81.6;96
ml-preprocessing-job-w888r;dgoh-wyze;dgoh-wyze-cpu;0.9;10.10;2.28;12.38;283.73;22.9188;24.0;15.6;23
ml-preprocessing-job-w888r;rpi;rpi-cpu;0.9;2.30;0.48;2.78;71.96;25.8849;6.1;17.6;7
ml-preprocessing-job-w888r;tvpc;tvpc-cpu;0.9;57.70;27.46;85.16;1184.01;13.9034;100.0;9.4;90
ml-preprocessing-job-w888r;tvpc;tvpc-gpu;0.9;57.70;40.40;98.10;6.73;0.0686;0.6;0.0;0
ml-train-job-xgql6;dgoh-wyze;dgoh-wyze-cpu;0.9;10.10;10.01;20.11;12.76;0.6343;0.7;8.4;1
ml-train-job-xgql6;tvpc;tvpc-cpu;0.9;53.00;86.83;139.83;68.39;0.4891;4.0;6.5;4
ml-train-job-xgql6;tvpc;tvpc-gpu;0.9;53.00;176.66;229.66;1715.98;7.4718;100.0;98.7;99
ml-train-job-xgql6;rpi;rpi-cpu;0.9;2.40;0.61;3.01;0.00;0.0014;0.0;0.0;0
